Financial year,Sub ICB,Paracetamol type,Item count,Total item count,Cost,Total cost,Patient count,Total patients,Percentage of items,Percentage of cost,Percentage of patients
2023/24,Derby and Derbyshire - 15M,Liquid,10590,47720,386250,562820,2290,8430,22.2,68.6,27.2
2023/24,Derby and Derbyshire - 15M,Non-liquid,37140,47720,176560,562820,7020,8430,77.8,31.4,83.3
2023/24,Devon - 15N,Liquid,15400,59580,621570,816720,3110,10520,25.8,76.1,29.6
2023/24,Devon - 15N,Non-liquid,44180,59580,195150,816720,8580,10520,74.2,23.9,81.6
2023/24,Dorset - 11J,Liquid,8620,33310,324960,423880,2010,6540,25.9,76.7,30.7
2023/24,Dorset - 11J,Non-liquid,24680,33310,98920,423880,5200,6540,74.1,23.3,79.5
2023/24,Frimley - D4U1Y,Liquid,3400,20350,121710,198960,820,3850,16.7,61.2,21.4
2023/24,Frimley - D4U1Y,Non-liquid,16950,20350,77250,198960,3310,3850,83.3,38.8,86
2023/24,Gloucestershire - 11M,Liquid,4400,21340,154020,227400,900,3640,20.6,67.7,24.8
2023/24,Gloucestershire - 11M,Non-liquid,16940,21340,73380,227400,3090,3640,79.4,32.3,84.9
2023/24,Greater Manchester - 00T,Liquid,950,6020,25560,45710,280,1240,15.7,55.9,22.8
2023/24,Greater Manchester - 00T,Non-liquid,5070,6020,20150,45710,1040,1240,84.3,44.1,83.9
2023/24,Greater Manchester - 00V,Liquid,560,4220,15420,30330,170,950,13.3,50.8,17.5
2023/24,Greater Manchester - 00V,Non-liquid,3660,4220,14920,30330,840,950,86.7,49.2,88.9
2023/24,Greater Manchester - 00Y,Liquid,810,6880,16810,38280,220,1440,11.8,43.9,15.4
2023/24,Greater Manchester - 00Y,Non-liquid,6070,6880,21470,38280,1320,1440,88.2,56.1,91.2
2023/24,Greater Manchester - 01D,Liquid,970,6790,20320,45710,200,1160,14.3,44.4,17.7
2023/24,Greater Manchester - 01D,Non-liquid,5820,6790,25400,45710,1030,1160,85.7,55.6,89
2023/24,Greater Manchester - 01G,Liquid,2050,6560,85380,102820,480,1300,31.2,83,36.9
2023/24,Greater Manchester - 01G,Non-liquid,4520,6560,17450,102820,990,1300,68.8,17,76
2023/24,Greater Manchester - 01W,Liquid,2190,11690,63810,102210,520,2250,18.7,62.4,23
2023/24,Greater Manchester - 01W,Non-liquid,9500,11690,38390,102210,1940,2250,81.3,37.6,86.4
2023/24,Greater Manchester - 01Y,Liquid,1260,7880,41430,73250,240,1250,16,56.6,19.4
2023/24,Greater Manchester - 01Y,Non-liquid,6620,7880,31830,73250,1100,1250,84,43.4,88.7
2023/24,Greater Manchester - 02A,Liquid,1210,5120,45170,61760,330,1060,23.7,73.1,31.2
2023/24,Greater Manchester - 02A,Non-liquid,3900,5120,16590,61760,850,1060,76.3,26.9,80.8
2023/24,Greater Manchester - 02H,Liquid,1760,9230,62050,91350,410,1640,19.1,67.9,24.8
2023/24,Greater Manchester - 02H,Non-liquid,7460,9230,29290,91350,1370,1640,80.9,32.1,83.7
2023/24,Greater Manchester - 14L,Liquid,1930,10670,63430,101550,450,1860,18.1,62.5,24.1
2023/24,Greater Manchester - 14L,Non-liquid,8740,10670,38120,101550,1560,1860,81.9,37.5,84.1
2023/24,Hampshire and Isle of Wight - 10R,Liquid,910,4450,43970,61640,230,830,20.5,71.3,27.7
2023/24,Hampshire and Isle of Wight - 10R,Non-liquid,3530,4450,17670,61640,690,830,79.5,28.7,82.5
2023/24,Hampshire and Isle of Wight - D9Y0V,Liquid,11200,54710,398700,612750,2820,11350,20.5,65.1,24.8
2023/24,Hampshire and Isle of Wight - D9Y0V,Non-liquid,43510,54710,214050,612750,9530,11350,79.5,34.9,83.9
2023/24,Herefordshire and Worcestershire - 18C,Liquid,8260,33470,276580,389030,1860,6110,24.7,71.1,30.5
2023/24,Herefordshire and Worcestershire - 18C,Non-liquid,25210,33470,112450,389030,4920,6110,75.3,28.9,80.5
2023/24,Hertfordshire and West Essex - 06K,Liquid,2370,16640,88350,164040,470,3050,14.2,53.9,15.5
2023/24,Hertfordshire and West Essex - 06K,Non-liquid,14270,16640,75690,164040,2750,3050,85.8,46.1,90.3
2023/24,Hertfordshire and West Essex - 06N,Liquid,2830,19430,96830,176560,620,3720,14.6,54.8,16.7
2023/24,Hertfordshire and West Essex - 06N,Non-liquid,16600,19430,79720,176560,3350,3720,85.4,45.2,90.1
2023/24,Hertfordshire and West Essex - 07H,Liquid,1340,9400,48700,82710,290,1580,14.3,58.9,18.2
2023/24,Hertfordshire and West Essex - 07H,Non-liquid,8050,9400,34010,82710,1400,1580,85.7,41.1,88.9
2023/24,Humber and North Yorkshire - 02Y,Liquid,2820,15920,91690,152100,710,3200,17.7,60.3,22.1
2023/24,Humber and North Yorkshire - 02Y,Non-liquid,13100,15920,60410,152100,2780,3200,82.3,39.7,86.8
2023/24,Humber and North Yorkshire - 03F,Liquid,1680,11120,54940,95000,350,1950,15.1,57.8,18.1
2023/24,Humber and North Yorkshire - 03F,Non-liquid,9440,11120,40060,95000,1750,1950,84.9,42.2,89.7
2023/24,Humber and North Yorkshire - 03H,Liquid,510,4810,9050,25970,160,1100,10.6,34.8,14.8
2023/24,Humber and North Yorkshire - 03H,Non-liquid,4300,4810,16930,25970,1000,1100,89.4,65.2,91.5
2023/24,Humber and North Yorkshire - 03K,Liquid,800,6970,23740,47380,250,1510,11.5,50.1,16.7
2023/24,Humber and North Yorkshire - 03K,Non-liquid,6170,6970,23640,47380,1350,1510,88.5,49.9,89.6
2023/24,Humber and North Yorkshire - 03Q,Liquid,2050,10530,72480,112210,500,2130,19.4,64.6,23.3
2023/24,Humber and North Yorkshire - 03Q,Non-liquid,8490,10530,39730,112210,1830,2130,80.6,35.4,85.6
2023/24,Humber and North Yorkshire - 42D,Liquid,3770,15870,150860,203620,1010,3480,23.8,74.1,29
2023/24,Humber and North Yorkshire - 42D,Non-liquid,12100,15870,52760,203620,2830,3480,76.2,25.9,81.3
2023/24,Kent and Medway - 91Q,Liquid,9010,50280,276890,446180,2460,11010,17.9,62.1,22.4
2023/24,Kent and Medway - 91Q,Non-liquid,41270,50280,169290,446180,9390,11010,82.1,37.9,85.2
2023/24,Lancashire and South Cumbria - 00Q,Liquid,670,3610,12620,25000,160,700,18.6,50.5,22.9
2023/24,Lancashire and South Cumbria - 00Q,Non-liquid,2940,3610,12380,25000,590,700,81.4,49.5,83.8
2023/24,Lancashire and South Cumbria - 00R,Liquid,1100,5840,27910,44820,260,1090,18.8,62.3,23.9
2023/24,Lancashire and South Cumbria - 00R,Non-liquid,4740,5840,16910,44820,900,1090,81.2,37.7,82.6
2023/24,Lancashire and South Cumbria - 00X,Liquid,1190,5590,34080,52370,290,1130,21.2,65.1,25.4
2023/24,Lancashire and South Cumbria - 00X,Non-liquid,4400,5590,18290,52370,940,1130,78.8,34.9,83.3
2023/24,Lancashire and South Cumbria - 01A,Liquid,2510,12860,88290,136950,700,2680,19.5,64.5,26.1
2023/24,Lancashire and South Cumbria - 01A,Non-liquid,10350,12860,48660,136950,2230,2680,80.5,35.5,83
2023/24,Lancashire and South Cumbria - 01E,Liquid,1240,6720,36180,56430,320,1600,18.4,64.1,19.9
2023/24,Lancashire and South Cumbria - 01E,Non-liquid,5490,6720,20250,56430,1390,1600,81.6,35.9,86.6
2023/24,Lancashire and South Cumbria - 01K,Liquid,3820,14320,134540,178580,820,2620,26.7,75.3,31.3
2023/24,Lancashire and South Cumbria - 01K,Non-liquid,10490,14320,44040,178580,2070,2620,73.3,24.7,79.1
2023/24,Lancashire and South Cumbria - 02G,Liquid,1410,4960,33960,46470,340,1140,28.4,73.1,29.6
2023/24,Lancashire and South Cumbria - 02G,Non-liquid,3550,4960,12510,46470,890,1140,71.6,26.9,78.5
2023/24,Lancashire and South Cumbria - 02M,Liquid,2080,10280,62110,95410,460,1820,20.2,65.1,25.2
2023/24,Lancashire and South Cumbria - 02M,Non-liquid,8200,10280,33300,95410,1510,1820,79.8,34.9,82.9
2023/24,"Leicester, Leicestershire and Rutland - 03W",Liquid,1000,10200,30170,74320,260,1960,9.8,40.6,13.1
2023/24,"Leicester, Leicestershire and Rutland - 03W",Non-liquid,9200,10200,44150,74320,1810,1960,90.2,59.4,92.3
2023/24,"Leicester, Leicestershire and Rutland - 04C",Liquid,1030,9650,32370,69180,250,1920,10.7,46.8,13.1
2023/24,"Leicester, Leicestershire and Rutland - 04C",Non-liquid,8620,9650,36810,69180,1770,1920,89.3,53.2,92.5
2023/24,"Leicester, Leicestershire and Rutland - 04V",Liquid,1190,10100,42020,85810,290,2030,11.8,49,14.3
2023/24,"Leicester, Leicestershire and Rutland - 04V",Non-liquid,8910,10100,43790,85810,1840,2030,88.2,51,90.8
2023/24,Lincolnshire - 71E,Liquid,5070,33030,141740,251150,1160,6180,15.4,56.4,18.8
2023/24,Lincolnshire - 71E,Non-liquid,27960,33030,109410,251150,5450,6180,84.6,43.6,88.2
2023/24,Mid and South Essex - 06Q,Liquid,1020,10460,31960,71450,300,2000,9.7,44.7,14.8
2023/24,Mid and South Essex - 06Q,Non-liquid,9440,10460,39490,71450,1810,2000,90.3,55.3,90.3
2023/24,Mid and South Essex - 07G,Liquid,320,2700,17890,28480,80,510,11.9,62.8,15.1
2023/24,Mid and South Essex - 07G,Non-liquid,2370,2700,10600,28480,460,510,88.1,37.2,91
2023/24,Mid and South Essex - 99E,Liquid,630,6770,25340,55260,150,1280,9.3,45.9,12
2023/24,Mid and South Essex - 99E,Non-liquid,6140,6770,29910,55260,1190,1280,90.7,54.1,93
2023/24,Mid and South Essex - 99F,Liquid,400,3150,13590,28020,110,670,12.7,48.5,16.4
2023/24,Mid and South Essex - 99F,Non-liquid,2750,3150,14430,28020,600,670,87.3,51.5,88.8
2023/24,Mid and South Essex - 99G,Liquid,690,5490,44590,72470,180,1010,12.6,61.5,17.7
2023/24,Mid and South Essex - 99G,Non-liquid,4800,5490,27880,72470,900,1010,87.4,38.5,89
2023/24,Norfolk and Waveney - 26A,Liquid,6510,32480,204360,312110,1550,6360,20.1,65.5,24.3
2023/24,Norfolk and Waveney - 26A,Non-liquid,25960,32480,107750,312110,5380,6360,79.9,34.5,84.6
2023/24,North Central London - 93C,Liquid,3500,23960,108730,198990,620,3870,14.6,54.6,16.1
2023/24,North Central London - 93C,Non-liquid,20460,23960,90260,198990,3460,3870,85.4,45.4,89.4
2023/24,North East London - A3A8R,Liquid,2000,25010,46680,134430,440,3850,8,34.7,11.6
2023/24,North East London - A3A8R,Non-liquid,23010,25010,87750,134430,3560,3850,92,65.3,92.5
2023/24,North East and North Cumbria - 00L,Liquid,3980,17300,150140,200710,840,3000,23,74.8,27.8
2023/24,North East and North Cumbria - 00L,Non-liquid,13320,17300,50580,200710,2480,3000,77,25.2,82.5
2023/24,North East and North Cumbria - 00N,Liquid,1290,5780,40810,57700,320,1090,22.4,70.7,29.2
2023/24,North East and North Cumbria - 00N,Non-liquid,4490,5780,16890,57700,880,1090,77.6,29.3,80.1
2023/24,North East and North Cumbria - 00P,Liquid,3540,13880,129050,171050,680,2130,25.5,75.4,31.9
2023/24,North East and North Cumbria - 00P,Non-liquid,10340,13880,42010,171050,1680,2130,74.5,24.6,79.1
2023/24,North East and North Cumbria - 01H,Liquid,2990,13240,99610,142510,640,2240,22.6,69.9,28.5
2023/24,North East and North Cumbria - 01H,Non-liquid,10250,13240,42900,142510,1850,2240,77.4,30.1,82.4
2023/24,North East and North Cumbria - 13T,Liquid,5050,23040,210820,284310,1100,4020,21.9,74.2,27.4
2023/24,North East and North Cumbria - 13T,Non-liquid,17990,23040,73490,284310,3330,4020,78.1,25.8,82.7
2023/24,North East and North Cumbria - 16C,Liquid,5770,28720,200120,297440,1430,5930,20.1,67.3,24.1
2023/24,North East and North Cumbria - 16C,Non-liquid,22960,28720,97310,297440,5050,5930,79.9,32.7,85.2
2023/24,North East and North Cumbria - 84H,Liquid,5300,26130,182720,262340,1340,4840,20.3,69.7,27.7
2023/24,North East and North Cumbria - 84H,Non-liquid,20830,26130,79620,262340,4030,4840,79.7,30.3,83.4
2023/24,North East and North Cumbria - 99C,Liquid,1740,8980,65970,91460,470,1750,19.3,72.1,26.7
2023/24,North East and North Cumbria - 99C,Non-liquid,7240,8980,25490,91460,1460,1750,80.7,27.9,83.5
2023/24,North West London - W2U3Z,Liquid,5560,32680,185160,301280,1120,5780,17,61.5,19.4
2023/24,North West London - W2U3Z,Non-liquid,27120,32680,116110,301280,5070,5780,83,38.5,87.7
2023/24,Northamptonshire - 78H,Liquid,2730,18780,84330,151230,660,4180,14.5,55.8,15.8
2023/24,Northamptonshire - 78H,Non-liquid,16050,18780,66900,151230,3760,4180,85.5,44.2,90
2023/24,Nottingham and Nottinghamshire - 02Q,Liquid,810,4690,20590,34610,200,880,17.4,59.5,22.9
2023/24,Nottingham and Nottinghamshire - 02Q,Non-liquid,3880,4690,14020,34610,760,880,82.6,40.5,86.4
2023/24,Nottingham and Nottinghamshire - 52R,Liquid,7280,36140,253440,377990,1610,6670,20.2,67,24.2
2023/24,Nottingham and Nottinghamshire - 52R,Non-liquid,28850,36140,124560,377990,5670,6670,79.8,33,85
2023/24,"Shropshire, Telford and Wrekin - M2L0M",Liquid,3900,18250,102840,158730,900,3600,21.4,64.8,25
2023/24,"Shropshire, Telford and Wrekin - M2L0M",Non-liquid,14350,18250,55890,158730,3000,3600,78.6,35.2,83.3
2023/24,Somerset - 11X,Liquid,5380,23790,188720,263160,1200,4510,22.6,71.7,26.7
2023/24,Somerset - 11X,Non-liquid,18410,23790,74440,263160,3730,4510,77.4,28.3,82.7
2023/24,South East London - 72Q,Liquid,4310,28410,130080,245750,870,4450,15.2,52.9,19.6
2023/24,South East London - 72Q,Non-liquid,24100,28410,115670,245750,3900,4450,84.8,47.1,87.7
2023/24,South West London - 36L,Liquid,4280,35490,142340,277490,880,5800,12.1,51.3,15.3
2023/24,South West London - 36L,Non-liquid,31210,35490,135150,277490,5220,5800,87.9,48.7,90
2023/24,South Yorkshire - 02P,Liquid,1500,10820,44080,79330,320,1750,13.9,55.6,18.4
2023/24,South Yorkshire - 02P,Non-liquid,9320,10820,35250,79330,1560,1750,86.1,44.4,89.2
2023/24,South Yorkshire - 02X,Liquid,1660,9030,49290,82640,400,1870,18.4,59.6,21.5
2023/24,South Yorkshire - 02X,Non-liquid,7370,9030,33360,82640,1610,1870,81.6,40.4,86.4
2023/24,South Yorkshire - 03L,Liquid,1330,9260,42290,79310,330,1870,14.3,53.3,17.5
2023/24,South Yorkshire - 03L,Non-liquid,7930,9260,37020,79310,1700,1870,85.7,46.7,90.7
2023/24,South Yorkshire - 03N,Liquid,2780,17970,74670,141830,700,3860,15.5,52.6,18.2
2023/24,South Yorkshire - 03N,Non-liquid,15190,17970,67170,141830,3420,3860,84.5,47.4,88.6
2023/24,Staffordshire and Stoke-on-Trent - 04Y,Liquid,720,6300,16690,38740,160,1070,11.4,43.1,14.5
2023/24,Staffordshire and Stoke-on-Trent - 04Y,Non-liquid,5580,6300,22050,38740,970,1070,88.6,56.9,91
2023/24,Staffordshire and Stoke-on-Trent - 05D,Liquid,770,3630,22110,35570,180,820,21.1,62.2,22.6
2023/24,Staffordshire and Stoke-on-Trent - 05D,Non-liquid,2860,3630,13450,35570,680,820,78.9,37.8,83.5
2023/24,Staffordshire and Stoke-on-Trent - 05G,Liquid,1450,7230,41870,65050,400,1510,20,64.4,26.7
2023/24,Staffordshire and Stoke-on-Trent - 05G,Non-liquid,5780,7230,23180,65050,1230,1510,80,35.6,81.1
2023/24,Staffordshire and Stoke-on-Trent - 05Q,Liquid,1040,6620,26500,49670,300,1450,15.6,53.4,20.3
2023/24,Staffordshire and Stoke-on-Trent - 05Q,Non-liquid,5580,6620,23170,49670,1260,1450,84.4,46.6,86.4
2023/24,Staffordshire and Stoke-on-Trent - 05V,Liquid,1280,5740,36010,55380,300,1230,22.2,65,24.2
2023/24,Staffordshire and Stoke-on-Trent - 05V,Non-liquid,4470,5740,19370,55380,1050,1230,77.8,35,85.3
2023/24,Staffordshire and Stoke-on-Trent - 05W,Liquid,1560,8800,48310,81260,340,1780,17.7,59.4,19
2023/24,Staffordshire and Stoke-on-Trent - 05W,Non-liquid,7240,8800,32950,81260,1560,1780,82.3,40.6,87.9
2023/24,Suffolk and North East Essex - 06L,Liquid,3590,14950,148700,199330,720,2660,24,74.6,27
2023/24,Suffolk and North East Essex - 06L,Non-liquid,11360,14950,50630,199330,2180,2660,76,25.4,81.9
2023/24,Suffolk and North East Essex - 06T,Liquid,1760,10700,74390,122440,440,2030,16.4,60.8,21.4
2023/24,Suffolk and North East Essex - 06T,Non-liquid,8940,10700,48040,122440,1730,2030,83.6,39.2,84.9
