Financial year,Sub ICB,Paracetamol type,Item count,Total item count,Cost,Total cost,Patient count,Total patients,Percentage of items,Percentage of cost,Percentage of patients
2023/24,Suffolk and North East Essex - 07K,Liquid,1620,7320,54480,79050,410,1570,22.2,68.9,26.4
2023/24,Suffolk and North East Essex - 07K,Non-liquid,5700,7320,24570,79050,1300,1570,77.8,31.1,83.3
2023/24,Surrey Heartlands - 92A,Liquid,7690,41900,264310,426550,1670,7400,18.4,62,22.6
2023/24,Surrey Heartlands - 92A,Non-liquid,34200,41900,162240,426550,6360,7400,81.6,38,85.9
2023/24,Sussex - 09D,Liquid,960,7040,30990,58190,250,1380,13.6,53.3,18.3
2023/24,Sussex - 09D,Non-liquid,6080,7040,27200,58190,1230,1380,86.4,46.7,89
2023/24,Sussex - 70F,Liquid,5280,35380,178760,326930,1300,6790,14.9,54.7,19.1
2023/24,Sussex - 70F,Non-liquid,30100,35380,148170,326930,6010,6790,85.1,45.3,88.5
2023/24,Sussex - 97R,Liquid,2820,18240,91440,163240,730,3700,15.4,56,19.8
2023/24,Sussex - 97R,Non-liquid,15420,18240,71790,163240,3210,3700,84.6,44,87
2023/24,West Yorkshire - 02T,Liquid,1300,6180,46620,64990,320,1120,21,71.7,29
2023/24,West Yorkshire - 02T,Non-liquid,4880,6180,18380,64990,910,1120,79,28.3,81.3
2023/24,West Yorkshire - 03R,Liquid,2150,11050,70880,105520,460,2120,19.5,67.2,21.9
2023/24,West Yorkshire - 03R,Non-liquid,8890,11050,34640,105520,1830,2120,80.5,32.8,86.5
2023/24,West Yorkshire - 15F,Liquid,4830,25040,178210,264520,1220,5000,19.3,67.4,24.4
2023/24,West Yorkshire - 15F,Non-liquid,20200,25040,86310,264520,4300,5000,80.7,32.6,86
2023/24,West Yorkshire - 36J,Liquid,3580,18140,125690,185140,860,3490,19.7,67.9,24.8
2023/24,West Yorkshire - 36J,Non-liquid,14570,18140,59450,185140,2920,3490,80.3,32.1,83.6
2023/24,West Yorkshire - X2C4Y,Liquid,2760,15940,93480,140010,630,2750,17.3,66.8,22.8
2023/24,West Yorkshire - X2C4Y,Non-liquid,13180,15940,46520,140010,2330,2750,82.7,33.2,84.8
2024/25,"Bath and North East Somerset, Swindon and Wiltshire - 92G",Liquid,7920,36570,384760,501700,1580,6280,21.7,76.7,25.2
2024/25,"Bath and North East Somerset, Swindon and Wiltshire - 92G",Non-liquid,28650,36570,116940,501700,5270,6280,78.3,23.3,83.9
2024/25,"Bedfordshire, Luton and Milton Keynes - M1J4Y",Liquid,3700,20530,133040,202290,870,4250,18,65.8,20.5
2024/25,"Bedfordshire, Luton and Milton Keynes - M1J4Y",Non-liquid,16830,20530,69250,202290,3660,4250,82,34.2,86.2
2024/25,Birmingham and Solihull - 15E,Liquid,7410,38390,354220,474360,1590,6820,19.3,74.7,23.4
2024/25,Birmingham and Solihull - 15E,Non-liquid,30980,38390,120140,474360,5820,6820,80.7,25.3,85.3
2024/25,Black Country - D2P2L,Liquid,6390,37030,256670,384770,1320,6580,17.2,66.7,20
2024/25,Black Country - D2P2L,Non-liquid,30640,37030,128110,384770,5770,6580,82.8,33.3,87.6
2024/25,"Bristol, North Somerset and South Gloucestershire - 15C",Liquid,7010,39630,308310,484890,1510,6770,17.7,63.6,22.4
2024/25,"Bristol, North Somerset and South Gloucestershire - 15C",Non-liquid,32620,39630,176580,484890,5880,6770,82.3,36.4,86.8
2024/25,"Buckinghamshire, Oxfordshire and Berkshire West - 10Q",Liquid,7630,33510,398880,504890,1390,5140,22.8,79,27
2024/25,"Buckinghamshire, Oxfordshire and Berkshire West - 10Q",Non-liquid,25880,33510,106010,504890,4280,5140,77.2,21,83.2
2024/25,"Buckinghamshire, Oxfordshire and Berkshire West - 14Y",Liquid,3880,16480,179580,234600,850,3090,23.6,76.5,27.6
2024/25,"Buckinghamshire, Oxfordshire and Berkshire West - 14Y",Non-liquid,12600,16480,55020,234600,2540,3090,76.4,23.5,82.3
2024/25,"Buckinghamshire, Oxfordshire and Berkshire West - 15A",Liquid,2990,12840,149420,198490,700,2350,23.3,75.3,29.6
2024/25,"Buckinghamshire, Oxfordshire and Berkshire West - 15A",Non-liquid,9850,12840,49070,198490,1930,2350,76.7,24.7,81.9
2024/25,Cambridgeshire and Peterborough - 06H,Liquid,5740,24650,251300,329230,1310,4940,23.3,76.3,26.5
2024/25,Cambridgeshire and Peterborough - 06H,Non-liquid,18900,24650,77930,329230,4080,4940,76.7,23.7,82.6
2024/25,Cheshire and Merseyside - 01F,Liquid,640,2860,26090,35900,150,670,22.5,72.7,22.9
2024/25,Cheshire and Merseyside - 01F,Non-liquid,2220,2860,9810,35900,570,670,77.5,27.3,84.8
2024/25,Cheshire and Merseyside - 01J,Liquid,650,3270,23500,33990,160,700,19.9,69.2,23
2024/25,Cheshire and Merseyside - 01J,Non-liquid,2620,3270,10480,33990,590,700,80.1,30.8,84.3
2024/25,Cheshire and Merseyside - 01T,Liquid,1090,4970,29990,43160,220,840,21.9,69.5,26.2
2024/25,Cheshire and Merseyside - 01T,Non-liquid,3880,4970,13170,43160,690,840,78.1,30.5,81.9
2024/25,Cheshire and Merseyside - 01V,Liquid,2510,9680,79780,105470,610,1990,25.9,75.6,30.6
2024/25,Cheshire and Merseyside - 01V,Non-liquid,7170,9680,25690,105470,1620,1990,74.1,24.4,81.2
2024/25,Cheshire and Merseyside - 01X,Liquid,870,4690,22970,35260,240,1210,18.5,65.2,19.9
2024/25,Cheshire and Merseyside - 01X,Non-liquid,3820,4690,12290,35260,1040,1210,81.5,34.8,86.2
2024/25,Cheshire and Merseyside - 02E,Liquid,2460,9430,113390,147280,470,1790,26.1,77,26.4
2024/25,Cheshire and Merseyside - 02E,Non-liquid,6970,9430,33890,147280,1460,1790,73.9,23,81.7
2024/25,Cheshire and Merseyside - 12F,Liquid,2210,14220,83830,137730,540,2880,15.6,60.9,18.9
2024/25,Cheshire and Merseyside - 12F,Non-liquid,12010,14220,53900,137730,2540,2880,84.4,39.1,88.4
2024/25,Cheshire and Merseyside - 27D,Liquid,7600,34530,301430,427630,1630,6240,22,70.5,26.1
2024/25,Cheshire and Merseyside - 27D,Non-liquid,26930,34530,126200,427630,5210,6240,78,29.5,83.5
2024/25,Cheshire and Merseyside - 99A,Liquid,1880,12830,56180,101830,470,2640,14.7,55.2,18
2024/25,Cheshire and Merseyside - 99A,Non-liquid,10940,12830,45650,101830,2360,2640,85.3,44.8,89.5
2024/25,Cornwall and the Isles of Scilly - 11N,Liquid,5510,21620,208680,264980,1160,3840,25.5,78.8,30.2
2024/25,Cornwall and the Isles of Scilly - 11N,Non-liquid,16110,21620,56290,264980,3090,3840,74.5,21.2,80.4
2024/25,Coventry and Warwickshire - B2M3M,Liquid,5170,29640,203580,320850,1300,6080,17.4,63.4,21.4
2024/25,Coventry and Warwickshire - B2M3M,Non-liquid,24470,29640,117280,320850,5250,6080,82.6,36.6,86.3
2024/25,Derby and Derbyshire - 15M,Liquid,11310,49280,562360,742740,2380,8780,22.9,75.7,27.1
2024/25,Derby and Derbyshire - 15M,Non-liquid,37970,49280,180380,742740,7260,8780,77.1,24.3,82.7
2024/25,Devon - 15N,Liquid,17060,63190,893830,1083220,3400,11060,27,82.5,30.8
2024/25,Devon - 15N,Non-liquid,46130,63190,189380,1083220,8840,11060,73,17.5,79.9
2024/25,Dorset - 11J,Liquid,9560,35090,439860,536890,2200,6670,27.3,81.9,32.9
2024/25,Dorset - 11J,Non-liquid,25520,35090,97030,536890,5220,6670,72.7,18.1,78.3
2024/25,Frimley - D4U1Y,Liquid,4130,21730,191600,269910,930,4090,19,71,22.7
2024/25,Frimley - D4U1Y,Non-liquid,17600,21730,78310,269910,3500,4090,81,29,85.7
2024/25,Gloucestershire - 11M,Liquid,4540,21920,202920,272350,930,3800,20.7,74.5,24.5
2024/25,Gloucestershire - 11M,Non-liquid,17380,21920,69430,272350,3190,3800,79.3,25.5,84.1
2024/25,Greater Manchester - 00T,Liquid,1110,5950,35900,52710,310,1270,18.7,68.1,24.5
2024/25,Greater Manchester - 00T,Non-liquid,4840,5950,16810,52710,1060,1270,81.3,31.9,83.8
2024/25,Greater Manchester - 00V,Liquid,720,4470,23380,36830,190,940,16.1,63.5,19.9
2024/25,Greater Manchester - 00V,Non-liquid,3750,4470,13440,36830,810,940,83.9,36.5,86.6
2024/25,Greater Manchester - 00Y,Liquid,840,6980,20430,40200,240,1470,12,50.8,16.6
2024/25,Greater Manchester - 00Y,Non-liquid,6140,6980,19760,40200,1330,1470,88,49.2,90.1
2024/25,Greater Manchester - 01D,Liquid,1040,7110,26100,55360,240,1170,14.7,47.1,20.3
2024/25,Greater Manchester - 01D,Non-liquid,6060,7110,29270,55360,1020,1170,85.3,52.9,87.2
2024/25,Greater Manchester - 01G,Liquid,2140,6330,118410,133240,440,1180,33.8,88.9,37.7
2024/25,Greater Manchester - 01G,Non-liquid,4190,6330,14840,133240,870,1180,66.2,11.1,74
2024/25,Greater Manchester - 01W,Liquid,2790,12330,102480,138480,600,2260,22.6,74,26.7
2024/25,Greater Manchester - 01W,Non-liquid,9540,12330,36000,138480,1870,2260,77.4,26,82.8
2024/25,Greater Manchester - 01Y,Liquid,1510,8670,58850,96530,280,1270,17.5,61,21.7
2024/25,Greater Manchester - 01Y,Non-liquid,7150,8670,37680,96530,1100,1270,82.5,39,86.7
2024/25,Greater Manchester - 02A,Liquid,1310,5040,55620,70640,330,1080,26.1,78.7,30.9
2024/25,Greater Manchester - 02A,Non-liquid,3730,5040,15030,70640,850,1080,73.9,21.3,79
2024/25,Greater Manchester - 02H,Liquid,2130,10040,83760,112730,490,1830,21.2,74.3,26.8
2024/25,Greater Manchester - 02H,Non-liquid,7920,10040,28970,112730,1510,1830,78.8,25.7,82.2
2024/25,Greater Manchester - 14L,Liquid,2230,10640,93370,128830,480,1820,20.9,72.5,26.1
2024/25,Greater Manchester - 14L,Non-liquid,8410,10640,35450,128830,1520,1820,79.1,27.5,83.4
2024/25,Hampshire and Isle of Wight - 10R,Liquid,960,4590,49870,65180,230,830,21,76.5,28.3
2024/25,Hampshire and Isle of Wight - 10R,Non-liquid,3620,4590,15300,65180,670,830,79,23.5,80.9
2024/25,Hampshire and Isle of Wight - D9Y0V,Liquid,11430,56860,509900,728890,2860,11690,20.1,70,24.5
2024/25,Hampshire and Isle of Wight - D9Y0V,Non-liquid,45430,56860,218990,728890,9800,11690,79.9,30,83.8
2024/25,Herefordshire and Worcestershire - 18C,Liquid,9210,33400,397120,510030,2050,6310,27.6,77.9,32.5
2024/25,Herefordshire and Worcestershire - 18C,Non-liquid,24200,33400,112900,510030,5000,6310,72.4,22.1,79.3
2024/25,Hertfordshire and West Essex - 06K,Liquid,2620,17570,109140,189140,550,3140,14.9,57.7,17.6
2024/25,Hertfordshire and West Essex - 06K,Non-liquid,14940,17570,80000,189140,2820,3140,85.1,42.3,89.6
2024/25,Hertfordshire and West Essex - 06N,Liquid,3260,19830,134550,218480,690,3740,16.5,61.6,18.4
2024/25,Hertfordshire and West Essex - 06N,Non-liquid,16560,19830,83930,218480,3300,3740,83.5,38.4,88.4
2024/25,Hertfordshire and West Essex - 07H,Liquid,1380,10050,63290,99960,290,1610,13.7,63.3,18.2
2024/25,Hertfordshire and West Essex - 07H,Non-liquid,8680,10050,36660,99960,1430,1610,86.3,36.7,89.2
2024/25,Humber and North Yorkshire - 02Y,Liquid,3530,18060,158370,224150,820,3440,19.6,70.7,23.9
2024/25,Humber and North Yorkshire - 02Y,Non-liquid,14520,18060,65780,224150,2960,3440,80.4,29.3,86.2
2024/25,Humber and North Yorkshire - 03F,Liquid,1660,10750,69880,105670,350,2040,15.5,66.1,17
2024/25,Humber and North Yorkshire - 03F,Non-liquid,9090,10750,35780,105670,1830,2040,84.5,33.9,89.6
2024/25,Humber and North Yorkshire - 03H,Liquid,540,4580,10650,28340,190,1170,11.8,37.6,16.3
2024/25,Humber and North Yorkshire - 03H,Non-liquid,4040,4580,17690,28340,1060,1170,88.2,62.4,90.8
2024/25,Humber and North Yorkshire - 03K,Liquid,1030,7660,33180,57570,280,1560,13.4,57.6,18.1
2024/25,Humber and North Yorkshire - 03K,Non-liquid,6630,7660,24400,57570,1390,1560,86.6,42.4,89.5
2024/25,Humber and North Yorkshire - 03Q,Liquid,2460,11710,110120,152700,590,2280,21,72.1,25.9
2024/25,Humber and North Yorkshire - 03Q,Non-liquid,9240,11710,42580,152700,1920,2280,79,27.9,84.5
2024/25,Humber and North Yorkshire - 42D,Liquid,4540,17670,229110,285100,1130,3760,25.7,80.4,30
2024/25,Humber and North Yorkshire - 42D,Non-liquid,13130,17670,55980,285100,2990,3760,74.3,19.6,79.7
2024/25,Kent and Medway - 91Q,Liquid,10170,54200,395420,588160,2680,11780,18.8,67.2,22.7
2024/25,Kent and Medway - 91Q,Non-liquid,44040,54200,192740,588160,10040,11780,81.2,32.8,85.2
2024/25,Lancashire and South Cumbria - 00Q,Liquid,900,4020,20520,32120,200,730,22.3,63.9,28.2
2024/25,Lancashire and South Cumbria - 00Q,Non-liquid,3130,4020,11600,32120,600,730,77.7,36.1,82.1
2024/25,Lancashire and South Cumbria - 00R,Liquid,1240,5850,40830,54880,270,1060,21.3,74.4,25.6
2024/25,Lancashire and South Cumbria - 00R,Non-liquid,4610,5850,14050,54880,880,1060,78.7,25.6,82.5
2024/25,Lancashire and South Cumbria - 00X,Liquid,1410,6190,52770,68590,340,1250,22.8,76.9,27.2
2024/25,Lancashire and South Cumbria - 00X,Non-liquid,4780,6190,15830,68590,1020,1250,77.2,23.1,82.2
2024/25,Lancashire and South Cumbria - 01A,Liquid,2770,13720,119270,171920,710,2820,20.2,69.4,25.3
2024/25,Lancashire and South Cumbria - 01A,Non-liquid,10950,13720,52650,171920,2360,2820,79.8,30.6,83.8
2024/25,Lancashire and South Cumbria - 01E,Liquid,1520,7360,56320,76690,380,1690,20.6,73.4,22.3
2024/25,Lancashire and South Cumbria - 01E,Non-liquid,5840,7360,20370,76690,1440,1690,79.4,26.6,85.4
2024/25,Lancashire and South Cumbria - 01K,Liquid,4080,14280,177980,215820,880,2660,28.6,82.5,33.2
2024/25,Lancashire and South Cumbria - 01K,Non-liquid,10200,14280,37840,215820,2070,2660,71.4,17.5,77.7
2024/25,Lancashire and South Cumbria - 02G,Liquid,1360,5270,42700,55740,330,1160,25.8,76.6,28.9
2024/25,Lancashire and South Cumbria - 02G,Non-liquid,3910,5270,13050,55740,930,1160,74.2,23.4,80.2
2024/25,Lancashire and South Cumbria - 02M,Liquid,2220,10840,74890,104530,530,1980,20.5,71.6,26.9
2024/25,Lancashire and South Cumbria - 02M,Non-liquid,8610,10840,29640,104530,1620,1980,79.5,28.4,81.9
2024/25,"Leicester, Leicestershire and Rutland - 03W",Liquid,1170,10490,45130,89210,330,2030,11.1,50.6,16.3
2024/25,"Leicester, Leicestershire and Rutland - 03W",Non-liquid,9320,10490,44080,89210,1840,2030,88.9,49.4,90.7
2024/25,"Leicester, Leicestershire and Rutland - 04C",Liquid,1220,9620,43700,76670,300,1840,12.6,57,16.3
2024/25,"Leicester, Leicestershire and Rutland - 04C",Non-liquid,8410,9620,32970,76670,1660,1840,87.4,43,90.3
2024/25,"Leicester, Leicestershire and Rutland - 04V",Liquid,1360,10280,61370,103380,330,2070,13.2,59.4,16.1
2024/25,"Leicester, Leicestershire and Rutland - 04V",Non-liquid,8920,10280,42010,103380,1840,2070,86.8,40.6,88.9
2024/25,Lincolnshire - 71E,Liquid,5690,35660,216460,333670,1350,6600,15.9,64.9,20.4
2024/25,Lincolnshire - 71E,Non-liquid,29980,35660,117210,333670,5780,6600,84.1,35.1,87.5
2024/25,Mid and South Essex - 06Q,Liquid,1020,10840,38100,86290,280,2080,9.5,44.2,13.2
2024/25,Mid and South Essex - 06Q,Non-liquid,9810,10840,48190,86290,1900,2080,90.5,55.8,91.4
2024/25,Mid and South Essex - 07G,Liquid,200,2620,11730,21700,50,540,7.6,54,9.5
2024/25,Mid and South Essex - 07G,Non-liquid,2420,2620,9970,21700,500,540,92.4,46,93.1
2024/25,Mid and South Essex - 99E,Liquid,620,7310,30350,66240,170,1310,8.5,45.8,12.7
2024/25,Mid and South Essex - 99E,Non-liquid,6690,7310,35890,66240,1220,1310,91.5,54.2,92.8
2024/25,Mid and South Essex - 99F,Liquid,540,3400,23720,37860,120,680,16,62.7,17.6
2024/25,Mid and South Essex - 99F,Non-liquid,2850,3400,14140,37860,610,680,84,37.3,90.2
2024/25,Mid and South Essex - 99G,Liquid,890,5960,69670,101740,200,1060,14.9,68.5,18.9
2024/25,Mid and South Essex - 99G,Non-liquid,5070,5960,32080,101740,940,1060,85.1,31.5,88.4
2024/25,Norfolk and Waveney - 26A,Liquid,7410,34450,287820,387660,1640,6660,21.5,74.2,24.6
2024/25,Norfolk and Waveney - 26A,Non-liquid,27050,34450,99840,387660,5580,6660,78.5,25.8,83.7
2024/25,North Central London - 93C,Liquid,3770,24900,155050,259450,680,4000,15.1,59.8,16.9
2024/25,North Central London - 93C,Non-liquid,21130,24900,104400,259450,3520,4000,84.9,40.2,88
2024/25,North East London - A3A8R,Liquid,2160,25710,60080,145060,460,3830,8.4,41.4,12.2
2024/25,North East London - A3A8R,Non-liquid,23550,25710,84980,145060,3510,3830,91.6,58.6,91.7
2024/25,North East and North Cumbria - 00L,Liquid,4430,18500,223610,270920,880,3010,23.9,82.5,29.2
2024/25,North East and North Cumbria - 00L,Non-liquid,14070,18500,47310,270920,2430,3010,76.1,17.5,81
2024/25,North East and North Cumbria - 00N,Liquid,1320,5500,53890,69070,340,1040,23.9,78,32.3
2024/25,North East and North Cumbria - 00N,Non-liquid,4190,5500,15180,69070,820,1040,76.1,22,78.7
2024/25,North East and North Cumbria - 00P,Liquid,4170,15270,215300,257300,750,2210,27.3,83.7,34
2024/25,North East and North Cumbria - 00P,Non-liquid,11100,15270,42000,257300,1720,2210,72.7,16.3,77.5
2024/25,North East and North Cumbria - 01H,Liquid,3210,13970,138890,182490,660,2380,23,76.1,27.6
2024/25,North East and North Cumbria - 01H,Non-liquid,10760,13970,43600,182490,1960,2380,77,23.9,82.4
2024/25,North East and North Cumbria - 13T,Liquid,5820,24550,310910,387060,1180,4090,23.7,80.3,28.7
2024/25,North East and North Cumbria - 13T,Non-liquid,18730,24550,76150,387060,3340,4090,76.3,19.7,81.6
2024/25,North East and North Cumbria - 16C,Liquid,6730,30460,298760,397540,1620,6100,22.1,75.2,26.5
2024/25,North East and North Cumbria - 16C,Non-liquid,23730,30460,98780,397540,5110,6100,77.9,24.8,83.8
2024/25,North East and North Cumbria - 84H,Liquid,6000,27760,266430,344990,1390,4940,21.6,77.2,28.2
2024/25,North East and North Cumbria - 84H,Non-liquid,21750,27760,78570,344990,4070,4940,78.4,22.8,82.4
2024/25,North East and North Cumbria - 99C,Liquid,2130,9390,104810,128040,520,1810,22.7,81.9,28.4
2024/25,North East and North Cumbria - 99C,Non-liquid,7260,9390,23230,128040,1470,1810,77.3,18.1,81.2
2024/25,North West London - W2U3Z,Liquid,6360,32920,268170,369490,1250,5660,19.3,72.6,22
2024/25,North West London - W2U3Z,Non-liquid,26560,32920,101320,369490,4840,5660,80.7,27.4,85.5
2024/25,Northamptonshire - 78H,Liquid,3400,19850,122960,188720,820,4550,17.1,65.2,18
2024/25,Northamptonshire - 78H,Non-liquid,16450,19850,65760,188720,4020,4550,82.9,34.8,88.5
2024/25,Nottingham and Nottinghamshire - 02Q,Liquid,1030,4930,37150,52260,240,910,20.9,71.1,26.4
2024/25,Nottingham and Nottinghamshire - 02Q,Non-liquid,3900,4930,15110,52260,770,910,79.1,28.9,84.7
2024/25,Nottingham and Nottinghamshire - 52R,Liquid,8540,37810,381340,496270,1760,6730,22.6,76.8,26.1
2024/25,Nottingham and Nottinghamshire - 52R,Non-liquid,29270,37810,114930,496270,5610,6730,77.4,23.2,83.3
2024/25,"Shropshire, Telford and Wrekin - M2L0M",Liquid,3940,18710,133620,194090,970,3870,21,68.8,25
2024/25,"Shropshire, Telford and Wrekin - M2L0M",Non-liquid,14780,18710,60470,194090,3230,3870,79,31.2,83.5
2024/25,Somerset - 11X,Liquid,6100,25050,282150,353960,1320,4650,24.3,79.7,28.3
2024/25,Somerset - 11X,Non-liquid,18950,25050,71810,353960,3790,4650,75.7,20.3,81.5
2024/25,South East London - 72Q,Liquid,4940,28580,193550,318340,950,4600,17.3,60.8,20.6
2024/25,South East London - 72Q,Non-liquid,23640,28580,124800,318340,3970,4600,82.7,39.2,86.4
2024/25,South West London - 36L,Liquid,4660,37020,184220,335070,960,5860,12.6,55,16.4
2024/25,South West London - 36L,Non-liquid,32360,37020,150850,335070,5240,5860,87.4,45,89.4
2024/25,South Yorkshire - 02P,Liquid,1530,10750,56270,87400,360,1780,14.2,64.4,20
2024/25,South Yorkshire - 02P,Non-liquid,9220,10750,31130,87400,1560,1780,85.8,35.6,87.8
2024/25,South Yorkshire - 02X,Liquid,1900,9670,71990,107700,430,1890,19.7,66.8,22.9
2024/25,South Yorkshire - 02X,Non-liquid,7760,9670,35710,107700,1620,1890,80.3,33.2,85.8
2024/25,South Yorkshire - 03L,Liquid,1530,9940,61660,95850,360,2010,15.4,64.3,18
2024/25,South Yorkshire - 03L,Non-liquid,8420,9940,34180,95850,1790,2010,84.6,35.7,89.2
2024/25,South Yorkshire - 03N,Liquid,2730,19480,85420,160230,680,3880,14,53.3,17.5
2024/25,South Yorkshire - 03N,Non-liquid,16750,19480,74810,160230,3450,3880,86,46.7,89
2024/25,Staffordshire and Stoke-on-Trent - 04Y,Liquid,900,6530,30260,51390,200,1140,13.7,58.9,17.7
2024/25,Staffordshire and Stoke-on-Trent - 04Y,Non-liquid,5640,6530,21130,51390,1020,1140,86.3,41.1,89.9
2024/25,Staffordshire and Stoke-on-Trent - 05D,Liquid,710,3810,22870,36620,230,840,18.7,62.4,27.1
2024/25,Staffordshire and Stoke-on-Trent - 05D,Non-liquid,3100,3810,13750,36620,690,840,81.3,37.6,81.5
2024/25,Staffordshire and Stoke-on-Trent - 05G,Liquid,1620,7690,60230,83010,450,1550,21.1,72.6,28.7
2024/25,Staffordshire and Stoke-on-Trent - 05G,Non-liquid,6070,7690,22780,83010,1260,1550,78.9,27.4,81.4
2024/25,Staffordshire and Stoke-on-Trent - 05Q,Liquid,1450,7290,48840,72640,360,1500,19.9,67.2,24.2
2024/25,Staffordshire and Stoke-on-Trent - 05Q,Non-liquid,5840,7290,23800,72640,1250,1500,80.1,32.8,83.8
2024/25,Staffordshire and Stoke-on-Trent - 05V,Liquid,1300,5450,52680,70700,310,1180,23.9,74.5,26
2024/25,Staffordshire and Stoke-on-Trent - 05V,Non-liquid,4140,5450,18020,70700,980,1180,76.1,25.5,83.2
2024/25,Staffordshire and Stoke-on-Trent - 05W,Liquid,1800,9560,61340,94820,420,1880,18.8,64.7,22.6
2024/25,Staffordshire and Stoke-on-Trent - 05W,Non-liquid,7760,9560,33480,94820,1600,1880,81.2,35.3,85.3
2024/25,Suffolk and North East Essex - 06L,Liquid,3980,15730,206440,256270,800,2860,25.3,80.6,28.1
2024/25,Suffolk and North East Essex - 06L,Non-liquid,11750,15730,49840,256270,2310,2860,74.7,19.4,80.6
2024/25,Suffolk and North East Essex - 06T,Liquid,2290,11530,101050,150620,550,2170,19.9,67.1,25.2
2024/25,Suffolk and North East Essex - 06T,Non-liquid,9240,11530,49570,150620,1810,2170,80.1,32.9,83.4
2024/25,Suffolk and North East Essex - 07K,Liquid,1890,7590,88430,109720,440,1590,24.9,80.6,27.3
2024/25,Suffolk and North East Essex - 07K,Non-liquid,5700,7590,21280,109720,1300,1590,75.1,19.4,81.9
2024/25,Surrey Heartlands - 92A,Liquid,8210,41720,343530,505340,1750,7600,19.7,68,23
2024/25,Surrey Heartlands - 92A,Non-liquid,33520,41720,161820,505340,6490,7600,80.3,32,85.4
2024/25,Sussex - 09D,Liquid,1380,7780,59890,90070,320,1420,17.7,66.5,22.6
2024/25,Sussex - 09D,Non-liquid,6400,7780,30180,90070,1220,1420,82.3,33.5,85.8
2024/25,Sussex - 70F,Liquid,6060,37390,259040,423150,1400,6880,16.2,61.2,20.3
2024/25,Sussex - 70F,Non-liquid,31330,37390,164110,423150,5970,6880,83.8,38.8,86.7
2024/25,Sussex - 97R,Liquid,2880,19080,115580,191990,770,3800,15.1,60.2,20.3
2024/25,Sussex - 97R,Non-liquid,16190,19080,76410,191990,3270,3800,84.9,39.8,86
2024/25,West Yorkshire - 02T,Liquid,1450,6110,65700,82370,320,1080,23.7,79.8,29.4
2024/25,West Yorkshire - 02T,Non-liquid,4660,6110,16670,82370,860,1080,76.3,20.2,79.9
2024/25,West Yorkshire - 03R,Liquid,2330,12420,94150,128320,510,2250,18.8,73.4,22.7
2024/25,West Yorkshire - 03R,Non-liquid,10090,12420,34170,128320,1930,2250,81.2,26.6,85.7
2024/25,West Yorkshire - 15F,Liquid,5820,26580,298580,378450,1360,5210,21.9,78.9,26
2024/25,West Yorkshire - 15F,Non-liquid,20760,26580,79870,378450,4380,5210,78.1,21.1,84.1
2024/25,West Yorkshire - 36J,Liquid,3750,18400,166120,222440,930,3580,20.4,74.7,26.1
2024/25,West Yorkshire - 36J,Non-liquid,14650,18400,56320,222440,3010,3580,79.6,25.3,83.9
2024/25,West Yorkshire - X2C4Y,Liquid,2820,15570,117550,162250,680,2790,18.1,72.5,24.6
2024/25,West Yorkshire - X2C4Y,Non-liquid,12750,15570,44690,162250,2360,2790,81.9,27.5,84.4
